,fluxes
AAT,0.0
ALATLm,0.0
ASNTLm,0.0
ASPO,0.0
ASPOm,0.0
ASPTLm,0.0
ASNTL,0.031902639772234474
ASPTL,0.031902639772234474
ALATL,0.12874993893213743
ALATAH,0.0
ASNTAH,0.0
ASPTAH,0.0
ASPATh,-32.452830561295336
AGAT,0.0
AGATx,0.0
ASPS,0.035154916347570696
ASPSE,0.0
ACGAMPM,0.006504553150672441
G6PDA,-0.00650455315067244
UA4E,0.038961005402884226
UDPACGLP,0.006504553150672442
AAPT,0.0
ACGAM6PSi,0.00650455315067244
GF6PTA,0.0
UAD,0.03896100540288423
UDPGALOR,0.0
UMPU,0.0
AOTA,0.07064155949566209
AOTAm,0.0
GACT,0.07064155949566206
GSC,0.022217909767044578
LGGSOR,0.0
PROOR,0.0
AAAT,0.0
AABHH,0.0
AGGPR,0.07064155949566207
AGK,0.07064155949566207
AODAA,1.312137342072355e-17
ARGDI,0.0
ARGT,0.07064155949566206
G5DH,0.022217909767044578
G5DHm,0.0
G5DHx,0.0
NOS,0.0
NOS1,0.0
NOS2,0.0
ORNTArm,0.0
P5CR,0.022217909767044578
P5CRm,0.0
PROTL,0.022217909767044575
PCOR,0.0
THPOR,0.0
P3H5COR,0.0
ARGTAH,0.0
PROTAH,0.0
ARGSL,0.07064155949566206
OCT,0.0
OCTh,0.0
OCTm,0.07064155949566207
ARGSS,0.07064155949566206
GLU5K,0.022217909767044575
GDPMANNE1,0.050785631450517725
GDPMANNE2,0.0
GDPMANNE3,0.0
ASCBOR4,0.0
MDHASCBL,0.0
ASCBOR,0.00014241390308440712
GTHDHu,0.0
UDPGLCURH,0.0
GDPGALP,0.05078563145051772
GAL1PP,0.05078563145051772
GALOR,0.0
GALTLOR,0.0
ASCBOR2,0.0
ASCBOR3,0.0
ATPM_NGAM,2.85
ASAPT,0.0
PPCOAOm,0.0
BAOAT,0.0
APOR,0.0
BADP,0.0
HIDP,0.0
PAO,0.0
PBAL,0.0
HAL,0.0
DHDH,0.0
DHPD,0.0
BUPN,0.0
44MZYMMO,0.0
44MZYMOR,0.0
4MZYMDM,31.392201391339693
4MZYMR,65.61463790489555
CADMO,-6.307240959370772
CADS,0.0
CAS,0.0
CMS,0.021953136357705405
CYARTMT,0.0
CYEUOLCYCI,0.0
CYEUOLS,0.0
DDSMSTOLD,31.392201391339697
DSMSTOLD,9.396408078810252
DXRI,0.021953136357705405
GGDR,0.003959054207373674
HDS,0.02195313635770541
LNS14DM,0.0
LS,0.0
MCS,0.02195313635770541
MERGTROLR,0.0
MPQMT,0.0
SMO,0.0
4MZYMCODH,0.0
CHLSTD78I,0.0
CHLSTI,31.392201391339697
CHLSTR,0.0
CMK,0.02195313635770541
DDSMSTOLR,0.0
DSMSTOLR,9.396408078810252
DXS,0.021953136357705405
FPPS,0.0
FPPSh,0.005488284089428851
GGPS,0.005488284089428851
GPPS,0.0
GPPSh,0.00548828408942774
HPT,0.0
IDI,0.0
IDIh,0.00548828408942774
IDS1,0.021953136357705405
IDS2,0.0
LTHSTRLOR,0.0
OBFOOLOR,0.0
PSPPS,0.0
SS,0.0
TCYD,0.0
TCYG,0.0
TMTB,0.0
TMTD,0.0
TMTG,0.0
VITD3S,0.0
ZYMSTR,0.0
HST,-1.1105265570039074e-15
MSBQMT,-1.1105265570039076e-15
3OACOAR,0.015934267963407155
3OACOAS,0.015934267963407158
COA1819ZD9DS,0.015934267963402207
ECOAH8,0.015934267963407155
ECOAR,0.015934267963402207
FACOAE160,0.0
FACOAE180,0.0
FACOAE1819Z,0.0
FACOAE1829Z12Z,0.0
FACOAE1836Z9Z12Z,0.0
FACOAE1839Z12Z15Z,0.0
LNLCCOAOR,0.0
AMAOTr,2.9733201336517536e-07
MALCOAMT,2.973320133651755e-07
OGMEACPS,2.9733201336517557e-07
OGMEACPR,2.973320133651755e-07
OGMEACPD,2.973320133651755e-07
EGMEACPR,2.973320133651755e-07
OPMEACPS,2.9733201336517546e-07
OPMEACPR,2.973320133651755e-07
OPMEACPD,2.9733201336517546e-07
EPMEACPR,2.9733201336517536e-07
PMEACPE,2.973320133651754e-07
AOXSr2,2.973320133651754e-07
DBTS,2.973320133651754e-07
BTS5,2.9733201336517536e-07
BTNL,0.0
BTNL2,0.0
BTNLm,0.0
BTNLm2,0.0
BCACT,0.0037558225779655775
BCOR,-0.0037558225779655775
HBCHL,0.0037558225779655784
HBCHLm,0.0
HBCHLR,0.0
HBCO_nadp,0.003755822577965578
HBCO_nadp_m,0.0
HBNOm,0.0
HBNOx,0.0
APLh,0.0
APLm,0.0
BNOR,0.0
BNORh,0.0
BTS,0.0
BTS_nadph,0.0
HBCO,0.0
HBCOm,0.0
SSNOh,0.0
SSNOm,0.0
CALLOSES,0.0
CALLOSESf,0.0
ALAAT,0.0
HCO3E,-63.86863697037065
HCO3Em,0.0
FBA3hi,13.65614155374252
GAPDH_nadp_hi,14.036630789268184
HCO3Ehi,63.19654887957322
MDH_nadp_hi,0.0
MDHCm,0.0
PPC,0.0
PPDKh,0.03418139945863123
PRUK,0.0
RBPCh,0.0
SBP,13.65614155374252
GAPDH_nadp,0.0
ASPATm,32.180605711319586
MDHC_nadp_hr,-104.47376963840244
ANXANASCOR,-0.00014990937166779695
BCAROH,0.00019488218316813597
BCAROKT,0.0
BCRPTXANH,0.00019488218316813597
LCYA,0.00035978249200271326
LCYB,0.0004048324490248754
LCYD,0.0003597824920027133
LCYE,0.0
LCYG,0.0004048324490248754
LUTH,9.74410915840681e-05
NEOXANS,8.245015441728838e-05
NOR,0.0007646149410275885
PDS1,0.0007646149410275884
PDS2,0.0007646149410275884
VIOXANOR,-0.00013491843450101724
ZDS,0.0007646149410275886
TCZCARI,0.0
TCLYCI,1.6933025854947094e-19
ANXANOR,0.0
CHYA1,0.00028482780616881473
CHYA2,0.0
CXHY,0.0
PSY,0.0007646149410275886
ZAXANOR,0.0
ZHY,0.00028482780616881473
PHYTOOR,1.8566738685534822e-19
DCPHYTFLOR,1.856673868553482e-19
DCZCAROR,1.6933025854947092e-19
CY_focytc_h,0.0
CY_focytb5_c,0.031868535926804414
ETF,0.0
ETFQO,0.0
CYSTAm,2.973320133651753e-07
MERCPPYRST,2.973320133651753e-07
3SPYRSPh,0.0
3SPYRSPm,0.0
ACSERSULL,0.0
ACSERSULLh,0.0
ACSERSULLm,0.0
SHSL1h,0.0
SHSL2h,0.0
SHSL4h,0.0
CSLm,0.0
CSLh,0.0
AATC,0.0
AATCm,0.0
AATG,0.0
AATGm,0.0
CTINBL,0.0
CYSATm,0.0
CYSAT,0.0
CYSDO,0.0
CYSS,0.0
CYSS_trdrd,0.0
CYSTBL,0.002321278461642212
CYSTL,0.001139379991865517
CYSTAH,0.0
SAT,-5.015280601240191e-23
SATm,0.0
DM_apotfen_h,0.0
DM_asnglcnacglcnacman_LPAREN_man_RPAREN_man_c,0.00325227657533622
DM_bhb_m,0.0
DM_bhb_x,0.0
DM_cat_c,9.39640807881025
DM_ficytb5_c,0.0
DM_glu5sa_m,0.0
DM_hcarn_c,0.0
DM_icit_h,0.0
DM_na1_c,0.004462040943057683
DM_na1_h,0.0
DM_na1_m,0.0
DM_na1_x,0.0
DM_no_h,0.0
DM_o2D_u,11.476888779780472
DM_photon298_c,0.0
DM_photon437_u,0.0
DM_photon438_u,0.0
DM_photon450_h,0.0
DM_photon490_s,0.0
DM_photon646_h,15.874817507998715
DM_photon673_u,0.0
DM_photon680_u,0.0
DM_udg_m,0.0
DM_urdglyc_m,0.0
DM_pqa_h,0.0
DM_amob_m,2.9733201336517536e-07
DM_12dgr18111Z160_c,-1.3006702711332826e-17
DM_12dgr1819Z160_c,0.0
DM_dad_5_c,3.344985150358552e-05
DM_callose_c,0.0
DM_callose_f,0.0
DM_pcb_c,0.0
DM_fe2_h,0.0
DM_starch_h,0.0
DM_tag_c,0.0
