,fluxes
AAT,0.0
ALATLm,0.0
ASNTLm,0.0
ASPO,-1.2310681893438163e-15
ASPOm,0.0
ASPTLm,0.0
ASNTL,0.0
ASPTL,0.0
ALATL,0.0
ALATAH,0.0
ASNTAH,0.0
ASPTAH,0.0
ASPATh,-1.5239621224922637
AGAT,0.0
AGATx,0.0
ASPS,0.0
ASPSE,0.0
ACGAMPM,0.0
G6PDA,0.0
UA4E,0.0
UDPACGLP,0.0
AAPT,0.0
ACGAM6PSi,0.0
GF6PTA,0.0
UAD,0.0
UDPGALOR,0.0
UMPU,0.0
AOTA,0.0
AOTAm,0.0
GACT,0.0
GSC,0.0
LGGSOR,0.0
PROOR,0.0
AAAT,0.0
AABHH,0.0
AGGPR,0.0
AGK,0.0
AODAA,0.0
ARGDI,0.0
ARGT,0.0
G5DH,0.0
G5DHm,0.0
G5DHx,0.0
NOS,0.0
NOS1,0.0
NOS2,0.0
ORNTArm,0.0
P5CR,0.0
P5CRm,0.0
PROTL,0.0
PCOR,0.0
THPOR,0.0
P3H5COR,0.0
ARGTAH,0.0
PROTAH,0.0
ARGSL,0.0
OCT,0.0
OCTh,0.0
OCTm,0.0
ARGSS,0.0
GLU5K,0.0
GDPMANNE1,0.0
GDPMANNE2,0.0
GDPMANNE3,0.0
ASCBOR4,0.0
MDHASCBL,0.0
ASCBOR,0.0
GTHDHu,0.0
UDPGLCURH,0.0
GDPGALP,0.0
GAL1PP,0.0
GALOR,0.0
GALTLOR,0.0
ASCBOR2,0.0
ASCBOR3,0.0
ATPM_NGAM,2.85
ASAPT,0.0
PPCOAOm,0.0
BAOAT,0.0
APOR,0.0
BADP,0.0
HIDP,0.0
PAO,0.0
PBAL,0.0
HAL,0.0
DHDH,0.0
DHPD,0.0
BUPN,0.0
44MZYMMO,0.0
44MZYMOR,-7.612381632788562
4MZYMDM,1.5239621224922641
4MZYMR,3.2384195102961444
CADMO,-992.578113632523
CADS,0.0
CAS,0.0
CMS,0.0
CYARTMT,0.0
CYEUOLCYCI,0.0
CYEUOLS,0.0
DDSMSTOLD,1.5239621224922641
DSMSTOLD,0.3809905306230671
DXRI,0.0
GGDR,0.0
HDS,0.0
LNS14DM,0.0
LS,0.0
MCS,0.0
MERGTROLR,0.0
MPQMT,0.0
SMO,0.0
4MZYMCODH,0.0
CHLSTD78I,0.0
CHLSTI,1.5239621224922641
CHLSTR,0.0
CMK,0.0
DDSMSTOLR,0.0
DSMSTOLR,0.3809905306230671
DXS,0.0
FPPS,0.0
FPPSh,0.0
GGPS,0.0
GPPS,0.0
GPPSh,0.0
HPT,0.0
IDI,0.0
IDIh,0.0
IDS1,0.0
IDS2,0.0
LTHSTRLOR,0.0
OBFOOLOR,0.0
PSPPS,0.0
SS,1000.0
TCYD,0.0
TCYG,0.0
TMTB,0.0
TMTD,0.0
TMTG,0.0
VITD3S,0.0
ZYMSTR,0.0
HST,0.0
MSBQMT,0.0
3OACOAR,0.0
3OACOAS,0.0
COA1819ZD9DS,0.0
ECOAH8,0.0
ECOAR,0.0
FACOAE160,0.0
FACOAE180,0.0
FACOAE1819Z,0.0
FACOAE1829Z12Z,0.0
FACOAE1836Z9Z12Z,0.0
FACOAE1839Z12Z15Z,0.0
LNLCCOAOR,0.0
AMAOTr,0.0
MALCOAMT,0.0
OGMEACPS,0.0
OGMEACPR,0.0
OGMEACPD,0.0
EGMEACPR,0.0
OPMEACPS,0.0
OPMEACPR,0.0
OPMEACPD,0.0
EPMEACPR,0.0
PMEACPE,0.0
AOXSr2,0.0
DBTS,0.0
BTS5,0.0
BTNL,0.0
BTNL2,0.0
BTNLm,0.0
BTNLm2,0.0
BCACT,0.0
BCOR,0.0
HBCHL,0.0
HBCHLm,0.0
HBCHLR,0.0
HBCO_nadp,0.0
HBCO_nadp_m,0.0
HBNOm,0.0
HBNOx,0.0
APLh,0.0
APLm,0.0
BNOR,0.0
BNORh,0.0
BTS,0.0
BTS_nadph,0.0
HBCO,0.0
HBCOm,0.0
SSNOh,0.0
SSNOm,0.0
CALLOSES,0.0
CALLOSESf,0.0
ALAAT,0.0
HCO3E,-3.6119810612461443
HCO3Em,0.0
FBA3hi,0.7619810612461303
GAPDH_nadp_hi,0.7619810612461312
HCO3Ehi,3.611981061246144
MDH_nadp_hi,0.0
MDHCm,0.0
PPC,0.0
PPDKh,0.0
PRUK,0.0
RBPCh,0.0
SBP,0.7619810612461303
GAPDH_nadp,0.0
ASPATm,1.523962122492264
MDHC_nadp_hr,-5.897924244984533
ANXANASCOR,0.0
BCAROH,0.0
BCAROKT,0.0
BCRPTXANH,0.0
LCYA,0.0
LCYB,0.0
LCYD,0.0
LCYE,0.0
LCYG,0.0
LUTH,0.0
NEOXANS,0.0
NOR,0.0
PDS1,0.0
PDS2,0.0
VIOXANOR,0.0
ZDS,0.0
TCZCARI,0.0
TCLYCI,0.0
ANXANOR,0.0
CHYA1,0.0
CHYA2,0.0
CXHY,0.0
PSY,0.0
ZAXANOR,0.0
ZHY,0.0
PHYTOOR,0.0
DCPHYTFLOR,0.0
DCZCAROR,0.0
CY_focytc_h,0.0
CY_focytb5_c,0.0
ETF,0.0
ETFQO,0.0
CYSTAm,0.0
MERCPPYRST,0.0
3SPYRSPh,0.0
3SPYRSPm,0.0
ACSERSULL,0.0
ACSERSULLh,0.0
ACSERSULLm,0.0
SHSL1h,0.0
SHSL2h,0.0
SHSL4h,0.0
CSLm,0.0
CSLh,0.0
AATC,0.0
AATCm,0.0
AATG,0.0
AATGm,0.0
CTINBL,0.0
CYSATm,0.0
CYSAT,0.0
CYSDO,0.0
CYSS,0.0
CYSS_trdrd,0.0
CYSTBL,0.0
CYSTL,0.0
CYSTAH,0.0
SAT,0.0
SATm,0.0
DM_apotfen_h,0.0
DM_asnglcnacglcnacman_LPAREN_man_RPAREN_man_c,0.0
DM_bhb_m,0.0
DM_bhb_x,0.0
DM_cat_c,0.3809905306231309
DM_ficytb5_c,0.0
DM_glu5sa_m,0.0
DM_hcarn_c,0.0
DM_icit_h,0.0
DM_na1_c,0.0
DM_na1_h,0.0
DM_na1_m,0.0
DM_na1_x,0.0
DM_no_h,0.0
DM_o2D_u,0.663018938753877
DM_photon298_c,0.0
DM_photon437_u,0.0
DM_photon438_u,0.0
DM_photon450_h,0.0
DM_photon490_s,0.0
DM_photon646_h,0.9173156407624604
DM_photon673_u,0.0
DM_photon680_u,0.0
DM_udg_m,0.0
DM_urdglyc_m,0.0
DM_pqa_h,0.0
DM_amob_m,0.0
DM_12dgr18111Z160_c,0.0
DM_12dgr1819Z160_c,0.0
DM_dad_5_c,0.0
DM_callose_c,0.0
DM_callose_f,0.0
DM_pcb_c,0.0
DM_fe2_h,0.0
DM_starch_h,0.0
DM_tag_c,0.0
CITALALDOR,0.0
CITALDM,0.0
CITALMO,0.0
CITALOR,0.0
DDMCITALOR,0.0
DMCITALDM,0.0
DMCITALOR,0.0
LIDOAMH,0.0
LIDODM,0.0
LIDOMO,0.0
MEGLYXYLAMH,0.0
CYTP450R,0.0
56DH5FLURAAMH,0.0
5FLURAOR,0.0
5FLURAPRT,0.0
6MPURPRT,0.0
6TINS5MPOR,0.0
6TXAN5MPAML,0.0
AFLBURPPAAMH,0.0
TEGAMO,0.0
TGUAPRT,0.0
EX_h_e,-4.598206296460213e-15
EX_h2o_e,0.0
EX_pi_e,-8.279734057792314e-15
EX_nh4_e,2.5898977101027375e-15
EX_no3_e,0.0
EX_so4_e,0.0
EX_fe2_e,0.0
EX_fe3_e,0.0
EX_mg2_e,0.0
EX_na1_e,-6.190247227641557e-16
EX_photonVis_e,-4.154622705656781
EX_o2_e,0.0
EX_co2_e,0.0
EX_hco3_e,0.0
EX_ac_e,0.0
EX_rib_D_e,0.0
EX_no2_e,0.0
EX_his_L_e,0.0
EX_urea_e,0.0
EX_ad_e,0.0
EX_gua_e,0.0
EX_ade_e,0.0
