,fluxes
EX_hxan_e,0.0
EX_alltn_e,0.0
EX_orn_e,0.0
EX_gln__L_e,0.0
EX_urate_e,0.0
EX_so3_e,0.0
EX_s_e,0.0
EX_no3_e,-10.0
EX_so4_e,-0.25218387584711355
EX_fe2_e,0.0
EX_fe3_e,0.0
PRISM_solar_litho,646.06656
PRISM_solar_exo,417.5912
PRISM_incandescent_60W,15.94176
EX_slnt_e,0.0
EX_leu__L_e,0.0
PRISM_fluorescent_warm_18W,8.09577
PRISM_fluorescent_cool_215W,44.63332
PRISM_metal_halide,17.5256
EX_etoh_e,42.20380204643802
EX_arg__L_e,0.0
EX_for_e,60.390239719220105
EX_h2_e,0.0
PRISM_high_pressure_sodium,36.15037
PRISM_growth_room,58.46722
PRISM_white_LED,4.59151
EX_glyclt_e,0.0
CMPth,-0.6228260699000006
EX_succ_e,0.0
EX_lac__D_e,0.0
EX_6mpur_e,0.0
PRISM_red_LED_array_653nm,96.62811
PRISM_red_LED_674nm,3.653
PRISM_design_growth,51.8841087821545
EX_h_e,68.6838721293843
EX_h2o_e,-10.0
EX_pi_e,-6.597766937293543
EX_nh4_e,-10.0
EX_mg2_e,-0.1420782998201161
EX_tgua_e,0.0
EX_tega_e,0.0
EX_5flura_e,0.0
EX_cital_e,0.0
EX_lido_e,0.0
PS_asn__L_c,-2.081196026352129e-15
CY_focytc_h,0.0
CY_focytb5_c,2.265026533645895
BIOMASS_Chlamy_auto,0.0
EX_na1_e,-5.504591493381624
EX_photonVis_e,-1401.2285287821546
EX_o2_e,-10.0
BIOMASS_Chlamy_mixo,6.404693015714823
CO2th,44.30689950474898
BIOMASS_Chlamy_hetero,0.0
EX_co2_e,60.78308244523744
COAth,-6.671282514457468e-15
CTPth,0.6228260699000004
ATPM,0.183
DM_apotfen_h,0.0
DM_asnglcnacglcnacman_man_man_c,-1.9403602607661032e-15
CYSth,-0.0784105408473225
DM_bhb_m,3.7876630167633474
DM_bhb_x,0.0
DM_cat_c,0.0
DHAP_pi_thr,0.0
DM_ficytb5_c,0.0
DM_glu5sa_m,0.0
DMPPth,0.0
DM_hcarn_c,0.0
DM_icit_h,0.0
DM_leutrna_c,0.0
ETOHth,0.0
EX_hco3_e,0.0
F6P_pi_thi,0.0
SK_starch300_h,-0.25754115010016837
F6PBth,0.0
FA160h,-0.8709730500340098
EX_ac_e,0.0
EX_rib__D_e,0.0
FA1619Zh,0.0
EX_no2_e,0.0
FA180h,0.0
EX_his__L_e,0.0
DM_na1_c,0.0
FA18111Zh,0.34349804762769864
DM_na1_h,5.5045914933816436
FA1819Zh,-0.44604769871480887
DM_na1_m,0.0
DM_na1_x,0.0
FADH2th,0.0
DM_no_h,0.0
DM_o2D_u,0.00017854479169224655
FADth,0.0
DM_photon298_c,4.029912297216876
DM_photon437_u,114.60009530594903
FE2th,0.0
DM_photon438_u,235.24451176142125
DM_photon450_h,144.69046489181056
FE3abch,0.0
DM_photon490_s,232.43805559368082
DM_photon646_h,325.77242515404447
FORthi,0.0
