,fluxes
AAT,-0.04012549530108503
ALATLm,0.0
ASNTLm,0.0
ASPO,0.0
ASPOm,0.01100657354146126
ASPTLm,0.0
ASNTL,0.01106764787354939
ASPTL,0.01106764787354939
ALATL,0.04466586458096347
ALATAH,0.0
ASNTAH,0.0
ASPTAH,0.0
ASPATh,-0.2131102338859627
AGAT,0.0
AGATx,0.0
ASPS,0.011663172358122953
ASPSE,0.0
ACGAMPM,0.0011910489691471266
G6PDA,-0.0011910489691471264
UA4E,0.01351633255671419
UDPACGLP,0.0011910489691471266
AAPT,0.0
ACGAM6PSi,0.0011910489691471264
GF6PTA,0.0
UAD,0.01351633255671419
UDPGALOR,0.0
UMPU,0.0
AOTA,0.02450693457714508
AOTAm,0.0
GACT,0.022779717896181467
GSC,0.007707826171862898
LGGSOR,0.0
PROOR,0.0
AAAT,0.0017272166809632133
AABHH,0.0
AGGPR,0.024506934577145083
AGK,0.02450693457714508
AODAA,0.00172721668096361
ARGDI,0.0
ARGT,0.024506934577145076
G5DH,0.007707826171862899
G5DHm,0.0
G5DHx,0.0
NOS,0.0
NOS1,0.0
NOS2,0.0
ORNTArm,0.0
P5CR,0.007707826171862899
P5CRm,0.0
PROTL,0.007707826171862899
PCOR,0.0
THPOR,0.0
P3H5COR,0.0
ARGTAH,0.0
PROTAH,0.0
ARGSL,0.024506934577145076
OCT,0.0
OCTh,0.0
OCTm,0.024506934577145083
ARGSS,0.024506934577145076
GLU5K,0.007707826171862899
GDPMANNE1,-1.555735571800057e-17
GDPMANNE2,0.0
GDPMANNE3,0.0
ASCBOR4,-0.011416057038895698
MDHASCBL,-0.011416057038895698
ASCBOR,4.9406160207712826e-05
GTHDHu,0.0
UDPGLCURH,0.0
GDPGALP,0.0
GAL1PP,0.0
GALOR,0.0
GALTLOR,0.0
ASCBOR2,0.0
ASCBOR3,0.011416057038895696
ATPM_NGAM,2.85
ASAPT,0.0
PPCOAOm,0.0
BAOAT,0.0
APOR,0.0
BADP,0.0
HIDP,0.0
PAO,0.0
PBAL,0.0
HAL,0.0
DHDH,0.0
DHPD,0.0
BUPN,0.0
44MZYMMO,0.0
44MZYMOR,0.0
4MZYMDM,0.0
4MZYMR,0.0
CADMO,0.0
CADS,0.0
CAS,0.0
CMS,0.007615757006506393
CYARTMT,0.0
CYEUOLCYCI,0.0
CYEUOLS,0.0
DDSMSTOLD,0.0
DSMSTOLD,0.0
DXRI,0.0076157570065063926
GGDR,0.0013734731104490356
HDS,0.0076157570065063926
LNS14DM,0.0
LS,0.0
MCS,0.007615757006506393
MERGTROLR,0.0
MPQMT,0.0
SMO,0.0
4MZYMCODH,0.0
CHLSTD78I,0.0
CHLSTI,0.0
CHLSTR,0.0
CMK,0.007615757006506394
DDSMSTOLR,0.0
DSMSTOLR,0.0
DXS,0.007615757006506393
FPPS,0.0
FPPSh,0.001903939251626598
GGPS,0.001903939251626598
GPPS,0.0
GPPSh,0.001903939251626598
