AAT: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ALATLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASNTLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASPO: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
ASPOm: Minimum = 0.0, Maximum = 999.9999999999997, Range = 999.9999999999997
ASPTLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASNTL: Minimum = 0.0, Maximum = 163.51705367333537, Range = 163.51705367333537
ASPTL: Minimum = 0.0, Maximum = 163.51705367333182, Range = 163.51705367333182
ALATL: Minimum = 0.0, Maximum = 163.51705367333182, Range = 163.51705367333182
ALATAH: Minimum = 0.0, Maximum = 163.51705367333184, Range = 163.51705367333184
ASNTAH: Minimum = 0.0, Maximum = 163.51705367333182, Range = 163.51705367333182
ASPTAH: Minimum = 0.0, Maximum = 163.51705367333182, Range = 163.51705367333182
ASPATh: Minimum = -1000.0, Maximum = 505.9112239147108, Range = 1505.9112239147107
AGAT: Minimum = 0.0, Maximum = 673.43810490961, Range = 673.43810490961
AGATx: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASPS: Minimum = -4.7137767973344256e-30, Maximum = 109.01136911556242, Range = 109.01136911556242
ASPSE: Minimum = 0.0, Maximum = 109.0113691155568, Range = 109.0113691155568
ACGAMPM: Minimum = 1.0284468033771078e-15, Maximum = 0.4999999999994124, Range = 0.49999999999941136
G6PDA: Minimum = -0.5000000000002197, Maximum = 327.03410734668546, Range = 327.5341073466857
UA4E: Minimum = 0.0, Maximum = 0.03896100540293801, Range = 0.03896100540293801
UDPACGLP: Minimum = 1.549643167616435e-14, Maximum = 0.5000000000071864, Range = 0.5000000000071708
AAPT: Minimum = 0.0, Maximum = 327.0341073466696, Range = 327.0341073466696
ACGAM6PSi: Minimum = 0.0, Maximum = 0.5000000000031413, Range = 0.5000000000031413
GF6PTA: Minimum = 0.0, Maximum = 327.03410734671553, Range = 327.03410734671553
UAD: Minimum = 4.1852292633182356e-30, Maximum = 327.034107346692, Range = 327.034107346692
UDPGALOR: Minimum = 0.0, Maximum = 0.03896100540295755, Range = 0.03896100540295755
UMPU: Minimum = 0.0, Maximum = 327.0341073466643, Range = 327.0341073466643
AOTA: Minimum = 0.0, Maximum = 327.0341073466846, Range = 327.0341073466846
AOTAm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
GACT: Minimum = -1000.0000000000001, Maximum = 327.03410734668324, Range = 1327.0341073466834
GSC: Minimum = 0.0, Maximum = 327.0341073466906, Range = 327.0341073466906
LGGSOR: Minimum = -0.9999999999982261, Maximum = 327.03410734669274, Range = 328.034107346691
PROOR: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
AAAT: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
AABHH: Minimum = 0.0, Maximum = 0.25000000000020023, Range = 0.25000000000020023
AGGPR: Minimum = 0.0, Maximum = 327.03410734663794, Range = 327.03410734663794
AGK: Minimum = 0.0, Maximum = 327.0341073467357, Range = 327.0341073467357
AODAA: Minimum = 0.0, Maximum = 1000.0000000000002, Range = 1000.0000000000002
ARGDI: Minimum = 0.0, Maximum = 157.4608665002417, Range = 157.4608665002417
ARGT: Minimum = 0.0, Maximum = 163.51705367333903, Range = 163.51705367333903
G5DH: Minimum = 0.0, Maximum = 327.03410734670723, Range = 327.03410734670723
G5DHm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
G5DHx: Minimum = 0.0, Maximum = 0.0, Range = 0.0
NOS: Minimum = 0.0, Maximum = 76.4722034911972, Range = 76.4722034911972
NOS1: Minimum = 0.0, Maximum = 76.47220349119974, Range = 76.47220349119974
NOS2: Minimum = 0.0, Maximum = 38.23610174559952, Range = 38.23610174559952
ORNTArm: Minimum = 0.0, Maximum = 327.0341073467057, Range = 327.0341073467057
P5CR: Minimum = 0.0, Maximum = 327.0341073466638, Range = 327.0341073466638
P5CRm: Minimum = 0.0, Maximum = 1000.0000000000001, Range = 1000.0000000000001
PROTL: Minimum = 0.0, Maximum = 163.51705367333875, Range = 163.51705367333875
PCOR: Minimum = 0.0, Maximum = 327.0341073466728, Range = 327.0341073466728
THPOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
P3H5COR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ARGTAH: Minimum = 0.0, Maximum = 163.51705367334574, Range = 163.51705367334574
PROTAH: Minimum = 0.0, Maximum = 163.51705367333034, Range = 163.51705367333034
ARGSL: Minimum = 0.0, Maximum = 157.5349405743108, Range = 157.5349405743108
OCT: Minimum = 0.0, Maximum = 73.30074819839922, Range = 73.30074819839922
OCTh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
OCTm: Minimum = -73.30074819839355, Maximum = 64.95737986082786, Range = 138.2581280592214
ARGSS: Minimum = 0.0, Maximum = 157.53494057433682, Range = 157.53494057433682
GLU5K: Minimum = 0.0, Maximum = 327.0341073467388, Range = 327.0341073467388
GDPMANNE1: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
GDPMANNE2: Minimum = -1000.0000000000001, Maximum = 1000.0000000000001, Range = 2000.0000000000002
GDPMANNE3: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ASCBOR4: Minimum = -1000.0, Maximum = 0.0, Range = 1000.0
MDHASCBL: Minimum = -999.9999999999999, Maximum = 0.0, Range = 999.9999999999999
ASCBOR: Minimum = 0.0, Maximum = 235.53449709320637, Range = 235.53449709320637
GTHDHu: Minimum = 0.0, Maximum = 471.0689941865136, Range = 471.0689941865136
UDPGLCURH: Minimum = 0.0, Maximum = 264.2974788566068, Range = 264.2974788566068
GDPGALP: Minimum = 0.0, Maximum = 35.7264150882942, Range = 35.7264150882942
GAL1PP: Minimum = 0.0, Maximum = 327.0341073467074, Range = 327.0341073467074
GALOR: Minimum = 0.0, Maximum = 38.649485413700596, Range = 38.649485413700596
GALTLOR: Minimum = 0.0, Maximum = 38.64948541369825, Range = 38.64948541369825
ASCBOR2: Minimum = 0.0, Maximum = 999.9999999999998, Range = 999.9999999999998
ASCBOR3: Minimum = 0.0, Maximum = 999.9999999999998, Range = 999.9999999999998
ATPM_NGAM: Minimum = 2.85, Maximum = 2.85, Range = 0.0
ASAPT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PPCOAOm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BAOAT: Minimum = 0.0, Maximum = 151.02713077528685, Range = 151.02713077528685
APOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BADP: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HIDP: Minimum = 0.0, Maximum = 327.03410734672593, Range = 327.03410734672593
PAO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PBAL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HAL: Minimum = 0.0, Maximum = 327.0341073467031, Range = 327.0341073467031
DHDH: Minimum = -151.02713077530524, Maximum = 0.0, Range = 151.02713077530524
DHPD: Minimum = -2.180002841424762e-13, Maximum = 151.02713077530095, Range = 151.02713077530117
BUPN: Minimum = 3.613651528165073e-15, Maximum = 151.02713077531126, Range = 151.02713077531126
44MZYMMO: Minimum = -1000.0, Maximum = 633.8493970470249, Range = 1633.849397047025
44MZYMOR: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
4MZYMDM: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
4MZYMR: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
CADMO: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
CADS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CAS: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
CMS: Minimum = 0.0, Maximum = 33.8311145531017, Range = 33.8311145531017
CYARTMT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYEUOLCYCI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CYEUOLS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
DDSMSTOLD: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
DSMSTOLD: Minimum = 0.0, Maximum = 1000.0, Range = 1000.0
DXRI: Minimum = 0.0, Maximum = 33.831114553106495, Range = 33.831114553106495
