AAT: Minimum = -1000.0, Maximum = 1000.0, Range = 2000.0
ALATLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASNTLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASPO: Minimum = 0.0, Maximum = 9.949401139197715, Range = 9.949401139197715
ASPOm: Minimum = 0.0, Maximum = 9.949401139189108, Range = 9.949401139189108
ASPTLm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASNTL: Minimum = 0.01106764787355023, Maximum = 6.900755195056627, Range = 6.889687547183077
ASPTL: Minimum = 0.01106764787355023, Maximum = 6.900755195056658, Range = 6.889687547183108
ALATL: Minimum = 0.04466586458096686, Maximum = 6.934353411764096, Range = 6.889687547183129
ALATAH: Minimum = 0.0, Maximum = 6.889687547183197, Range = 6.889687547183197
ASNTAH: Minimum = 0.0, Maximum = 6.889687547183197, Range = 6.889687547183197
ASPTAH: Minimum = 0.0, Maximum = 6.889687547183125, Range = 6.889687547183125
ASPATh: Minimum = -134.7197225313282, Maximum = 19.331765068547313, Range = 154.0514875998755
AGAT: Minimum = 0.0, Maximum = 11.67134079908178, Range = 11.67134079908178
AGATx: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ASPS: Minimum = 0.011663172358123901, Maximum = 4.604788203813613, Range = 4.5931250314554894
ASPSE: Minimum = 0.0, Maximum = 4.593125031455714, Range = 4.593125031455714
ACGAMPM: Minimum = 0.0011910489691473397, Maximum = 0.0011910489691370494, Range = -1.029037965949442e-14
G6PDA: Minimum = -0.0011910489690830225, Maximum = 13.778184045398792, Range = 13.779375094367875
UA4E: Minimum = 0.013516332556715215, Maximum = 0.013516332556715542, Range = 3.2786273695961654e-16
UDPACGLP: Minimum = 0.00119104896914734, Maximum = 0.0011910489691518893, Range = 4.5493123157491766e-15
AAPT: Minimum = 0.0, Maximum = 13.77937509436799, Range = 13.77937509436799
ACGAM6PSi: Minimum = 0.0011910489691473404, Maximum = 0.0011910489691515035, Range = 4.16311950190984e-15
GF6PTA: Minimum = 0.0, Maximum = 13.779375094368032, Range = 13.779375094368032
UAD: Minimum = 0.013516332556715218, Maximum = 13.792891426924228, Range = 13.779375094367513
UDPGALOR: Minimum = 0.0, Maximum = 0.013516332556715742, Range = 0.013516332556715742
UMPU: Minimum = 0.0, Maximum = 13.779375094367529, Range = 13.779375094367529
AOTA: Minimum = 0.024506934577146942, Maximum = 13.40235680342881, Range = 13.377849868851664
AOTAm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
GACT: Minimum = -67.33413010165724, Maximum = 13.402356803411271, Range = 80.7364869050685
GSC: Minimum = 0.007707826171863483, Maximum = 9.153437088368902, Range = 9.145729262197039
LGGSOR: Minimum = 2.6028978022390923e-13, Maximum = 13.377849868834762, Range = 13.3778498688345
PROOR: Minimum = 0.0, Maximum = 20.92219349012231, Range = 20.92219349012231
AAAT: Minimum = 0.0, Maximum = 67.35863703623654, Range = 67.35863703623654
AABHH: Minimum = 0.0, Maximum = -8.903385884954383e-14, Range = -8.903385884954383e-14
AGGPR: Minimum = 0.024506934577146935, Maximum = 13.402356803437097, Range = 13.37784986885995
AGK: Minimum = 0.02450693457714694, Maximum = 13.402356803410251, Range = 13.377849868833104
AODAA: Minimum = 0.0, Maximum = 67.35863703623511, Range = 67.35863703623511
ARGDI: Minimum = 0.0, Maximum = 6.8896875471838905, Range = 6.8896875471838905
ARGT: Minimum = 0.024506934577146935, Maximum = 6.91419448176115, Range = 6.889687547184003
G5DH: Minimum = 0.007707826171863482, Maximum = 9.153437088368483, Range = 9.14572926219662
G5DHm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
G5DHx: Minimum = 0.0, Maximum = 0.0, Range = 0.0
NOS: Minimum = 0.0, Maximum = 2.2120648281506323, Range = 2.2120648281506323
NOS1: Minimum = 0.0, Maximum = 1.9951701582563843, Range = 1.9951701582563843
NOS2: Minimum = 0.0, Maximum = 0.9975850791282681, Range = 0.9975850791282681
ORNTArm: Minimum = 0.0, Maximum = 13.377849868836858, Range = 13.377849868836858
P5CR: Minimum = 0.007707826171863482, Maximum = 9.153437088368872, Range = 9.145729262197008
P5CRm: Minimum = 0.0, Maximum = 20.92219349012282, Range = 20.92219349012282
PROTL: Minimum = 0.007707826171863482, Maximum = 6.897395373335455, Range = 6.889687547163592
PCOR: Minimum = 0.0, Maximum = 9.145729262197928, Range = 9.145729262197928
THPOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
P3H5COR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
ARGTAH: Minimum = 0.0, Maximum = 6.88968754718341, Range = 6.88968754718341
PROTAH: Minimum = 0.0, Maximum = 6.889687547183764, Range = 6.889687547183764
ARGSL: Minimum = 0.024506934577146935, Maximum = 6.91419448176082, Range = 6.889687547183673
OCT: Minimum = 0.0, Maximum = 2.5407973884014456, Range = 2.5407973884014456
OCTh: Minimum = 0.0, Maximum = 0.0, Range = 0.0
OCTm: Minimum = -2.5162904538239075, Maximum = 2.3210694503332836, Range = 4.837359904157191
ARGSS: Minimum = 0.024506934577146935, Maximum = 6.914194481760968, Range = 6.889687547183821
GLU5K: Minimum = 0.007707826171863483, Maximum = 9.15343708836896, Range = 9.145729262197097
GDPMANNE1: Minimum = -1000.0000000000002, Maximum = 1000.0, Range = 2000.0000000000002
GDPMANNE2: Minimum = -999.9999999999999, Maximum = 1000.0, Range = 2000.0
GDPMANNE3: Minimum = -999.9999999999999, Maximum = 1000.0, Range = 2000.0
ASCBOR4: Minimum = -19.91050056827324, Maximum = 0.0, Range = 19.91050056827324
MDHASCBL: Minimum = -19.91050056827221, Maximum = 0.0, Range = 19.91050056827221
ASCBOR: Minimum = 0.0, Maximum = 6.889736953348026, Range = 6.889736953348026
GTHDHu: Minimum = 0.0, Maximum = 13.779375094381933, Range = 13.779375094381933
UDPGLCURH: Minimum = 0.0, Maximum = 13.779375094381543, Range = 13.779375094381543
GDPGALP: Minimum = 0.0, Maximum = 0.01797384249297723, Range = 0.01797384249297723
GAL1PP: Minimum = 0.0, Maximum = 13.779375094375347, Range = 13.779375094375347
GALOR: Minimum = 0.0, Maximum = 5.428200384784097e-13, Range = 5.428200384784097e-13
GALTLOR: Minimum = 0.0, Maximum = 5.244837508729797e-13, Range = 5.244837508729797e-13
ASCBOR2: Minimum = 0.0, Maximum = 19.910500568277303, Range = 19.910500568277303
ASCBOR3: Minimum = 0.0, Maximum = 9.961099429086302, Range = 9.961099429086302
ATPM_NGAM: Minimum = 2.85, Maximum = 2.85, Range = 0.0
ASAPT: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PPCOAOm: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BAOAT: Minimum = 0.0, Maximum = 4.72653536277454, Range = 4.72653536277454
APOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
BADP: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HIDP: Minimum = 0.0, Maximum = 13.779375094373524, Range = 13.779375094373524
PAO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PBAL: Minimum = 0.0, Maximum = 0.0, Range = 0.0
HAL: Minimum = 0.0, Maximum = 13.779375094381386, Range = 13.779375094381386
DHDH: Minimum = -4.726535362769822, Maximum = 3.675283081865246e-18, Range = 4.726535362769822
DHPD: Minimum = 0.0, Maximum = 4.726535362775765, Range = 4.726535362775765
BUPN: Minimum = 0.0, Maximum = 4.726535362775793, Range = 4.726535362775793
44MZYMMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
44MZYMOR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
4MZYMDM: Minimum = 0.0, Maximum = 0.0, Range = 0.0
4MZYMR: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CADMO: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CADS: Minimum = 0.0, Maximum = 0.0, Range = 0.0
CAS: Minimum = 0.0, Maximum = 1.7530370187350874e-13, Range = 1.7530370187350874e-13
CMS: Minimum = 0.00761575700650491, Maximum = 0.007615757007720571, Range = 1.2156603848567649e-12
CYARTMT: Minimum = 0.0, Maximum = 1.8635669217515233e-13, Range = 1.8635669217515233e-13
CYEUOLCYCI: Minimum = 0.0, Maximum = 0.0, Range = 0.0
