EX_hxan_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_alltn_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_orn_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_gln__L_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_urate_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_so3_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_s_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_no3_e: Minimum = -10.0, Maximum = -9.99999999999928, Range = 7.194245199571014e-13
EX_so4_e: Minimum = -0.11848790602133438, Maximum = -0.11848790602129439, Range = 3.9995784462121264e-14
EX_fe2_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_fe3_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PRISM_solar_litho: Minimum = 646.06656, Maximum = 646.06656, Range = 0.0
PRISM_solar_exo: Minimum = 417.5912, Maximum = 417.5912, Range = 0.0
PRISM_incandescent_60W: Minimum = 15.94176, Maximum = 15.94176, Range = 0.0
EX_slnt_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_leu__L_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PRISM_fluorescent_warm_18W: Minimum = 8.09577, Maximum = 8.09577, Range = 0.0
PRISM_fluorescent_cool_215W: Minimum = 44.63332, Maximum = 44.63332, Range = 0.0
PRISM_metal_halide: Minimum = 17.5256, Maximum = 17.5256, Range = 0.0
EX_etoh_e: Minimum = 0.0, Maximum = 269.0849374745385, Range = 269.0849374745385
EX_arg__L_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_for_e: Minimum = 0.0, Maximum = 86.38221640037756, Range = 86.38221640037756
EX_h2_e: Minimum = 0.0, Maximum = 86.32514280037935, Range = 86.32514280037935
PRISM_high_pressure_sodium: Minimum = 36.15037, Maximum = 36.15037, Range = 0.0
PRISM_growth_room: Minimum = 58.46722, Maximum = 58.46722, Range = 0.0
PRISM_white_LED: Minimum = 4.59151, Maximum = 4.59151, Range = 0.0
EX_glyclt_e: Minimum = 0.0, Maximum = 4.316438754068721, Range = 4.316438754068721
CMPth: Minimum = -3.549421311371915, Maximum = -0.9595580589310226, Range = 2.5898632524408924
EX_succ_e: Minimum = 0.0, Maximum = 393.7577747074166, Range = 393.7577747074166
EX_lac__D_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
EX_6mpur_e: Minimum = 0.0, Maximum = 0.0, Range = 0.0
PRISM_red_LED_array_653nm: Minimum = 96.62811, Maximum = 96.62811, Range = 0.0
PRISM_red_LED_674nm: Minimum = 3.653, Maximum = 3.653, Range = 0.0
PRISM_design_growth: Minimum = 51.8841087821545, Maximum = 51.8841087821545, Range = 0.0
EX_h_e: Minimum = -10.0, Maximum = 886.0260384603489, Range = 896.0260384603489
EX_h2o_e: Minimum = -10.0, Maximum = 40.332354093887616, Range = 50.332354093887616
